country_id,country,world_region,year,income_groups,income_per_person,life_expectancy
afg,Afghanistan,south_asia,1950,low_income,1040,32
afg,Afghanistan,south_asia,1951,low_income,1060,32.4
afg,Afghanistan,south_asia,1952,low_income,1070,33
afg,Afghanistan,south_asia,1953,low_income,1120,33.7
afg,Afghanistan,south_asia,1954,low_income,1130,34.4
afg,Afghanistan,south_asia,1955,low_income,1130,35.1
afg,Afghanistan,south_asia,1956,low_income,1160,35.8
afg,Afghanistan,south_asia,1957,low_income,1140,36.5
afg,Afghanistan,south_asia,1958,low_income,1180,37.2
afg,Afghanistan,south_asia,1959,low_income,1190,37.9
afg,Afghanistan,south_asia,1960,low_income,1210,38.6
afg,Afghanistan,south_asia,1961,low_income,1200,39.4
afg,Afghanistan,south_asia,1962,low_income,1200,40.1
afg,Afghanistan,south_asia,1963,low_income,1190,40.8
afg,Afghanistan,south_asia,1964,low_income,1190,41.5
afg,Afghanistan,south_asia,1965,low_income,1190,42.2
afg,Afghanistan,south_asia,1966,low_income,1180,42.9
afg,Afghanistan,south_asia,1967,low_income,1180,43.7
afg,Afghanistan,south_asia,1968,low_income,1200,44.4
afg,Afghanistan,south_asia,1969,low_income,1190,45.1
afg,Afghanistan,south_asia,1970,low_income,1180,45.8
afg,Afghanistan,south_asia,1971,low_income,1100,45.9
afg,Afghanistan,south_asia,1972,low_income,1050,45.9
afg,Afghanistan,south_asia,1973,low_income,1150,46
afg,Afghanistan,south_asia,1974,low_income,1180,46.1
afg,Afghanistan,south_asia,1975,low_income,1210,46.3
afg,Afghanistan,south_asia,1976,low_income,1240,46.5
afg,Afghanistan,south_asia,1977,low_income,1130,46.6
afg,Afghanistan,south_asia,1978,low_income,1190,45
afg,Afghanistan,south_asia,1979,low_income,1170,43.6
afg,Afghanistan,south_asia,1980,low_income,1170,43.3
afg,Afghanistan,south_asia,1981,low_income,1300,44.1
afg,Afghanistan,south_asia,1982,low_income,1410,43.8
afg,Afghanistan,south_asia,1983,low_income,1470,42
afg,Afghanistan,south_asia,1984,low_income,1440,39.8
afg,Afghanistan,south_asia,1985,low_income,1400,41.6
afg,Afghanistan,south_asia,1986,low_income,1500,42.6
afg,Afghanistan,south_asia,1987,low_income,1240,44.7
afg,Afghanistan,south_asia,1988,low_income,1120,47
afg,Afghanistan,south_asia,1989,low_income,1100,50.8
afg,Afghanistan,south_asia,1990,low_income,1040,51.6
afg,Afghanistan,south_asia,1991,low_income,1030,51.3
afg,Afghanistan,south_asia,1992,low_income,950,51.4
afg,Afghanistan,south_asia,1993,low_income,818,51.4
afg,Afghanistan,south_asia,1994,low_income,732,50.7
afg,Afghanistan,south_asia,1995,low_income,881,51.1
afg,Afghanistan,south_asia,1996,low_income,904,51.4
afg,Afghanistan,south_asia,1997,low_income,930,51.1
afg,Afghanistan,south_asia,1998,low_income,956,50.1
afg,Afghanistan,south_asia,1999,low_income,982,51.5
afg,Afghanistan,south_asia,2000,low_income,972,51.6
afg,Afghanistan,south_asia,2001,low_income,871,51.7
afg,Afghanistan,south_asia,2002,low_income,1060,52.4
afg,Afghanistan,south_asia,2003,low_income,1100,53
afg,Afghanistan,south_asia,2004,low_income,1060,53.5
afg,Afghanistan,south_asia,2005,low_income,1140,53.9
afg,Afghanistan,south_asia,2006,low_income,1160,54.1
afg,Afghanistan,south_asia,2007,low_income,1290,54.6
afg,Afghanistan,south_asia,2008,low_income,1300,55.2
afg,Afghanistan,south_asia,2009,low_income,1530,55.7
afg,Afghanistan,south_asia,2010,low_income,1610,56.2
afg,Afghanistan,south_asia,2011,low_income,1660,56.7
afg,Afghanistan,south_asia,2012,low_income,1840,57.2
afg,Afghanistan,south_asia,2013,low_income,1810,57.7
afg,Afghanistan,south_asia,2014,low_income,1780,57.8
afg,Afghanistan,south_asia,2015,low_income,1750,57.9
afg,Afghanistan,south_asia,2016,low_income,1740,58
afg,Afghanistan,south_asia,2017,low_income,1800,58.4
afg,Afghanistan,south_asia,2018,low_income,1870,58.7
ago,Angola,sub_saharan_africa,1950,upper_middle_income,3180,36.6
ago,Angola,sub_saharan_africa,1951,upper_middle_income,3260,36.9
ago,Angola,sub_saharan_africa,1952,upper_middle_income,3340,37.5
ago,Angola,sub_saharan_africa,1953,upper_middle_income,3420,38.1
ago,Angola,sub_saharan_africa,1954,upper_middle_income,3290,38.7
ago,Angola,sub_saharan_africa,1955,upper_middle_income,3510,39.3
ago,Angola,sub_saharan_africa,1956,upper_middle_income,3400,39.9
ago,Angola,sub_saharan_africa,1957,upper_middle_income,3670,40.5
ago,Angola,sub_saharan_africa,1958,upper_middle_income,3810,41.2
ago,Angola,sub_saharan_africa,1959,upper_middle_income,3770,41.8
ago,Angola,sub_saharan_africa,1960,upper_middle_income,3860,42.4
ago,Angola,sub_saharan_africa,1961,upper_middle_income,4310,43
ago,Angola,sub_saharan_africa,1962,upper_middle_income,4130,43.6
ago,Angola,sub_saharan_africa,1963,upper_middle_income,4280,44.3
ago,Angola,sub_saharan_africa,1964,upper_middle_income,4690,44.9
ago,Angola,sub_saharan_africa,1965,upper_middle_income,4960,45.5
ago,Angola,sub_saharan_africa,1966,upper_middle_income,5170,46.2
ago,Angola,sub_saharan_africa,1967,upper_middle_income,5390,46.8
ago,Angola,sub_saharan_africa,1968,upper_middle_income,5230,47.4
ago,Angola,sub_saharan_africa,1969,upper_middle_income,5300,48.1
ago,Angola,sub_saharan_africa,1970,upper_middle_income,5550,48.7
ago,Angola,sub_saharan_africa,1971,upper_middle_income,5780,49
ago,Angola,sub_saharan_africa,1972,upper_middle_income,5670,49.2
ago,Angola,sub_saharan_africa,1973,upper_middle_income,6000,49.4
ago,Angola,sub_saharan_africa,1974,upper_middle_income,6060,49.6
ago,Angola,sub_saharan_africa,1975,upper_middle_income,5620,49.5
ago,Angola,sub_saharan_africa,1976,upper_middle_income,5200,49.5
